filename,folder #,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
1.21,1.21,0.455925226,0.187229991,-385.9670715,102.7962646,5.567682266,29.18841362,13.42071819,8.013563156,-7.328341007,1.886529326,-0.011791257,6.142141342,-1.183208108,6.065225601,3.796158552,5.705980301,0.120138273,4.921242714,-5.893002033,2.390614271,-0.606972277,1.637411475,1
1.22,1.22,0.449190795,0.123898759,-382.9586487,114.4758835,4.470592499,32.62979126,18.43663788,7.197654247,-7.763731956,6.223858833,0.578677416,8.346467018,-0.69475174,6.930691719,3.284120083,6.244125366,1.404630899,3.576739788,-7.358205795,2.240461111,-1.885670543,3.280951977,1
1.23,1.23,0.447773904,0.172220364,-354.6075745,127.8726654,10.16850662,30.55734444,14.67266941,7.784093857,-6.196630478,4.31595993,0.583900332,7.205329895,-0.571210206,7.284274101,5.267251968,6.361507893,0.221047759,4.045532227,-8.417992592,0.719234765,-0.54950422,2.826140881,1
1.27,1.27,0.476577222,0.010672478,-689.3947754,18.15551376,1.483631968,5.459583282,3.030230761,1.648233533,-0.625246823,1.399775267,0.229168773,1.59658432,0.038424883,1.448189497,0.62499094,0.845637023,-0.141419724,0.92241776,-1.110075474,0.510693729,-0.454873621,0.638061225,0
1.31,1.31,0.535376787,0.020177901,-521.7449951,72.14969635,10.0490942,27.68060303,14.37622261,9.169969559,4.941643238,10.50069427,1.274762869,7.752561092,-0.678578854,6.655279636,1.990036964,2.765005112,-1.011243224,4.052671432,-2.515525341,4.002864361,-2.612055063,3.111599684,1
1.32,1.32,0.448586494,0.129355416,-361.6907043,115.5117645,8.658777237,37.4372139,15.74862862,7.590053082,-4.803469658,7.304458618,-1.325129747,9.074224472,-1.233726025,7.529176235,6.565709114,4.833362103,0.283447266,6.445768833,-7.967689514,4.807006836,-0.730685234,2.254870415,1
1.33,1.33,0.466584444,0.099117093,-394.0533854,107.7069015,10.6962045,32.86158371,16.48825169,6.166481177,-5.669632753,3.674566587,-1.678285102,7.869955063,-0.632765571,6.314184427,4.73265624,3.000455779,1.37369142,4.932694276,-6.593233267,4.049022754,-1.12751929,1.697824875,0
1.34,1.34,0.447618514,0.103328824,-444.6040955,86.91220093,6.182546616,29.7016983,12.6413908,4.119048119,-7.908089161,1.245648384,-2.724153757,5.888252258,-1.725137591,2.968548059,4.274125576,4.196617126,0.549787581,4.217643261,-6.230802059,3.528861523,0.21615839,1.41394937,0
1.36,1.36,0.437092245,0.104699627,-472.2177124,78.33006287,9.539995193,26.25638008,12.45595074,5.404276848,-9.083244324,3.908662319,-2.64569664,4.035164833,-0.816468239,2.406390905,3.008921862,5.02809,0.779916346,3.565696955,-4.734096527,3.981889725,-0.48363784,1.768853545,0
2.18,2.18,0.417574108,0.061404023,-368.8600464,115.9133377,4.472631454,34.84337234,20.92936325,7.705909252,-3.232779741,1.021282196,-0.593469977,6.948327541,1.234046102,9.516867638,-4.292160511,6.765849113,1.733347654,-1.040171027,-4.469963551,8.635510445,-3.546836138,4.597533226,0
2.23,2.23,0.417873174,0.049961906,-351.7102966,118.203125,2.816249371,33.23404312,20.23286057,9.809396744,-1.251051664,3.658579111,-1.107156634,8.352948189,3.587717295,9.942869186,-4.245658875,7.024303436,0.772310197,0.071056351,-4.078244686,9.849287033,-3.372203112,5.901797771,0
2.24,2.24,0.445756137,0.125689968,-368.1765442,104.1560059,-0.139806256,32.45894241,18.02256966,3.599397659,-1.928436399,0.767063975,0.046273291,5.812832355,-0.46405977,6.845898628,-2.63708806,4.522133827,2.163671732,1.142740965,-1.228631139,8.165665627,-1.641598582,4.648376942,0
2.25,2.25,0.508393764,0.019805983,-578.2677612,42.42285538,4.858976364,13.80284977,8.030343056,4.3390131,1.155259967,3.358145952,-0.751956403,3.156184435,0.569284201,3.73835659,0.042180892,1.79404521,0.254115403,1.450332522,-2.414364338,2.143620729,-1.818062544,1.628256679,0
2.26,2.26,0.499865711,0.023700273,-554.3456421,55.69307327,0.190016136,15.93243027,9.639349937,3.413260221,-0.717832088,0.554418325,-1.10709846,4.233847141,-1.04854095,2.912958145,-0.434694201,2.457614183,-0.235633448,0.576281726,-1.968540907,3.568659544,-1.867098212,2.111936569,0
2.27,2.27,0.517324388,0.027637463,-576.9445801,32.12792206,-0.809606791,8.595618248,5.364040375,1.528946042,-0.546763003,0.558831751,0.167507797,2.459830523,0.351141214,2.566397429,-0.425510943,1.610114217,-0.171653196,-0.387377352,-0.507490218,2.123249292,-0.884130836,1.531032681,0
2.28,2.28,0.498381555,0.018437546,-555.5617065,44.64918518,3.916368484,14.5708828,8.513145447,3.053445816,-0.845252454,1.70861876,-0.223915577,1.926419497,0.399707019,3.741359234,-0.787647843,1.681117296,0.491440564,0.282215238,-1.505992889,2.37463665,-1.401851416,1.595748901,0
2.29,2.29,0.482070357,0.039972115,-382.2658386,113.2951965,13.86607552,37.30814743,20.24552536,10.03282452,2.417140722,8.472229958,0.082711108,10.68149281,-0.742903173,9.61905098,-1.024569869,4.587172031,-1.529655218,4.254829407,-4.00290966,6.451466084,-4.522839069,4.538156986,0
2.34,2.34,0.46939218,0.044627387,-374.2518921,115.9234009,5.297713757,37.65139771,23.30662346,7.561698914,-4.203990459,1.715605378,0.318394989,12.40664482,1.000710607,6.310154915,-0.415298343,7.883149624,-3.253914356,-1.445023894,-3.54935503,6.742254734,-6.830600739,4.57786274,0
2.35,2.35,0.5079301,0.030263457,-496.1477661,59.73011017,5.431701183,20.32170296,12.69388771,5.28203249,1.068570495,3.915017366,0.370269477,6.000682354,-0.208431706,3.704041004,-0.13680926,2.129655838,-0.409180909,1.177348495,-2.271826982,3.55926156,-2.934142828,2.558400869,0
2.36,2.36,0.488749713,0.031820934,-455.2408447,90.39565277,8.741732597,28.28173447,17.50248909,6.964692116,-1.789337397,3.307743549,-0.943741322,7.123217583,0.787590563,7.771694183,-2.040016174,4.847010136,-0.331280023,0.383161902,-4.951459408,5.525585175,-4.094381809,3.517748594,0
2.37,2.37,0.47464779,0.029449929,-459.2778931,93.92863464,14.27900219,32.46424103,18.5604763,8.260243416,-1.384218454,6.896327019,-0.518354654,7.316062927,-1.348600149,8.286764145,0.3865484,4.516846657,-1.170113444,2.238945484,-4.918771267,3.90743947,-4.663827896,3.392575741,0
2.38,2.38,0.483349025,0.347691417,-359.106781,92.4307251,10.55980301,29.37142944,21.73347282,5.005076408,1.916574717,1.562223911,1.258666277,6.103271008,2.396783113,3.720885754,1.734229803,2.728725672,2.027902126,-0.400684595,-0.609189689,5.087080002,-1.294469357,1.814746261,0
3.2,3.2,0.399842471,0.151598141,-330.7115173,98.07491302,-1.307738662,28.51702118,14.17035866,-1.502631187,0.249331251,3.719154596,-2.161951065,11.28370285,1.935578704,6.498495102,-3.453845024,5.001272678,1.372089744,2.938630819,-2.341669321,6.479476929,-8.85094738,5.32275629,0
3.3,3.3,0.403150797,0.138001025,-394.701416,97.69884491,4.288022995,19.84621811,11.20574284,-4.731333733,-0.420505792,4.493732452,-1.326314569,8.437966347,-1.961840153,4.811210632,0.503337622,4.095779419,1.567952752,2.711464643,-1.892933846,4.78216362,-2.623244762,3.870868683,0
3.4,3.4,0.589678109,0.015748177,-392.6805725,96.71912384,7.090828896,31.29409409,20.8705883,10.12177753,4.329594135,17.14049721,5.077432632,14.05892658,-1.272028327,8.423391342,0.274413496,6.036944389,0.634275615,7.436685085,-5.03800106,4.620589256,-5.014114857,5.796453953,0
3.5,3.5,0.481252611,0.069916718,-357.3919373,106.340271,7.732863426,30.91822052,15.86008072,1.519486666,-2.04211545,3.375957966,0.787553549,11.06009865,-1.897986293,4.882768631,0.450932682,6.531508923,1.262678742,6.531965733,-3.450298786,6.313212872,-6.469099998,2.852231026,0
3.6,3.6,0.460526198,0.156549454,-377.578125,90.95101166,-0.477486581,27.67552567,14.13772869,-3.634512663,-2.61640811,1.458019018,1.583577633,10.38946724,-2.881085634,5.085109711,0.672639966,3.127244949,1.035283685,-0.139679626,-3.887779951,4.650504589,-4.509970188,2.521600246,0
3.7,3.7,0.468776613,0.051954187,-437.4905701,87.70198059,4.754006386,24.86256599,14.8641634,1.874879241,-2.069164515,3.362918377,-2.185975075,10.24230003,-1.549019694,3.701973438,1.439241648,2.702553749,-0.080579169,0.837665558,-3.408600807,4.638646603,-3.055344105,2.907393694,0
