filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
3.17,3.17,-1.545994521,12.84143177,0.011727916,0.051682007,0.025012476,0.550274468,1.067220049,0.602394957,1.958726863,65.100423,10.66247718,18.12503072,0
3.18,3.18,-1.582523896,15.40162883,0.010801528,0.049585663,0.025699086,0.565379883,1.072086186,0.587477437,3.349543426,67.54142972,11.09974991,19.81046069,0
3.19,3.19,-1.444506593,2.423172426,0.016716875,0.029721856,0.022986722,0.137920329,1.021879659,0.687444193,1.424408423,23.50323216,12.13084082,21.35301488,0
3.2,3.2,-1.610698759,12.09514287,0.0070039,0.015633875,0.011744197,0.082209377,1.040853801,0.587477437,3.349543426,46.83842105,11.75115661,20.88144043,0
3.21,3.21,-1.685884969,13.85835369,0.005378687,0.016103031,0.011751999,0.082263995,1.000725949,0.587477437,3.349543426,42.03048987,11.26255511,19.71006255,0
3.22,3.22,-1.586681131,5.059699735,0.005404763,0.016123856,0.010428466,0.072999264,0.948791393,0.398974231,3.349543426,21.82220203,9.328729709,20.53794377,0
3.23,3.23,-1.646209728,11.5897524,0.01373593,0.097407646,0.038296621,0.421262833,0.934372046,0.64734125,1.8382243,32.70302161,3.63984082,19.85977133,0
3.24,3.24,-1.464773618,10.38074104,0.007874548,0.055006648,0.027688236,0.332258833,1.093308169,0.75273256,1.416465328,48.10555943,2.001251076,18.9352481,0
3.25,3.25,-1.502036569,8.515981851,0.008942897,0.05653906,0.033677301,0.303095713,1.109810198,0.861223614,1.416465328,33.29430595,1.72447045,20.06213401,0
3.26,3.26,-1.530813634,14.10953498,0.015023173,0.065892783,0.029771608,0.476345727,0.973231685,0.575272193,1.353695504,50.60804762,5.616701285,19.59189181,0
3.27,3.27,-1.440400102,9.97781112,0.011664395,0.014247332,0.013150601,0.039451802,0.93595297,0.263941616,1.633447436,38.37407175,5.831204456,20.55607779,0
3.28,3.28,-0.922807838,20.63970931,0.008654835,0.039179065,0.016232176,0.227250458,1.039462439,0.665552249,1.910293357,57.17043412,5.386507487,20.85453548,0
3.29,3.29,-0.81205426,4.743953901,0.009171325,0.009171325,0.009171325,0.009171325,1.059413521,0.617699945,2.019753081,25.4259245,3.42134082,21.67877409,0
3.3,3.3,-1.136212873,16.56390495,0.008452794,0.071488831,0.029688529,0.534393528,0.998516459,0.592514521,2.108483264,44.93324065,2.66984082,21.49847649,0
3.31,3.31,-1.043746815,11.10442158,0.010096464,0.061181872,0.029545759,0.413640632,0.969756182,0.187804144,3.59190469,40.72975963,3.122555106,21.43458019,0
3.32,3.32,-0.794737741,7.335477026,0.01684725,0.030512038,0.023679644,0.047359288,1.074220335,0.39413088,2.150136079,22.55862704,2.85484082,21.50068658,0
3.33,3.33,-0.186829661,20.35389187,0.017025607,0.084874818,0.039288143,0.667898428,1.057984194,0.587671171,1.610199353,47.60928874,6.126379281,21.24617941,0
3.34,3.34,-0.359237389,14.91083686,0.024126474,0.08105134,0.050140984,0.501409843,1.117612433,0.275953125,3.053905304,35.76359784,6.712988968,21.80937589,0
3.35,3.35,-0.296871058,16.46586248,0.007983185,0.074852225,0.028032669,0.504588042,0.980840536,0.382313105,2.092790808,48.06118624,6.649491983,21.60440089,0
3.36,3.36,-0.099451183,8.533499706,0.013781257,0.091468225,0.029792889,0.387307562,0.857092235,0.334654535,2.092790808,34.28368942,5.90544688,21.27494578,0
3.37,3.37,-0.235685235,4.090412782,0.011276284,0.074911208,0.045576189,0.227880946,1.377563536,0.438108504,3.791257002,20.66345304,3.40484082,21.39086848,0
4.3,4.3,-0.660482917,0.447425637,0.003614257,0.003614257,0.003614257,0.003614257,0.690775373,-0.263492494,4.403031472,11.05240597,-7.826438249,98.67137654,0
4.7,4.7,0.456121551,0.300295812,0.000737491,0.000756111,0.000746801,0.001493602,0.468880821,0.019171598,1.727368935,14.53530545,-18.49043825,99.99388724,0
4.8,4.8,0.556963899,0.818530674,0.00758086,0.050276633,0.022814599,0.068443796,0.529497986,0.136697557,2.309334829,16.94393556,-17.74693825,99.5737654,0
4.9,4.9,0.672170007,4.213589425,0.023677485,0.023677485,0.023677485,0.023677485,1.173798405,0.190327626,5.90962931,32.86635534,-18.85993825,99.89799908,0
4.1,4.1,0.852762188,1.007152743,0.008119143,0.008119143,0.008119143,0.008119143,0.53621502,0.129971674,2.885105831,16.08645059,-16.95048587,97.31827082,0
4.28,4.28,0.901958655,24.48319419,0.015819372,0.152803548,0.083568933,0.417844667,1.75785858,0.232983885,6.889307298,80.86149466,-0.344771582,99.92234844,0
4.31,4.31,1.742345699,0.926236662,0.002114139,0.011316352,0.006453059,0.045171412,0.781666662,0.233691873,3.709911508,35.95666643,1.593918894,95.98760074,0
5.1,5.1,-0.427361962,0.011734085,0.014974608,0.014974608,0.014974608,0.014974608,0.513553556,-0.169317619,2.261973847,2.567767779,-6.792125919,68.75428265,0
