filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,Label
1.33,1.33,0.351210443,38.34995325,0.018805895,0.07061252,0.031957528,0.28761775,1.043294198,-0.430710285,4.759970348,81.37694741,16.31649182,77.94325027,0.466584444,0.099117093,-394.0533854,107.7069015,10.6962045,32.86158371,16.48825169,6.166481177,-5.669632753,3.674566587,-1.678285102,7.869955063,-0.632765571,6.314184427,4.73265624,3.000455779,1.37369142,4.932694276,-6.593233267,4.049022754,-1.12751929,1.697824875,0
1.34,1.34,0.540065093,43.89302424,0.02306482,0.211534946,0.106977906,1.390712775,1.95834004,0.346556394,4.792674416,82.25028166,11.0124805,75.58309167,0.447618514,0.103328824,-444.6040955,86.91220093,6.182546616,29.7016983,12.6413908,4.119048119,-7.908089161,1.245648384,-2.724153757,5.888252258,-1.725137591,2.968548059,4.274125576,4.196617126,0.549787581,4.217643261,-6.230802059,3.528861523,0.21615839,1.41394937,0
1.36,1.36,-0.212047568,38.81162171,0.038398958,0.187405035,0.111878589,0.559392943,3.435891655,1.889425301,5.217173217,13.74356662,14.75301383,79.16467111,0.437092245,0.104699627,-472.2177124,78.33006287,9.539995193,26.25638008,12.45595074,5.404276848,-9.083244324,3.908662319,-2.64569664,4.035164833,-0.816468239,2.406390905,3.008921862,5.02809,0.779916346,3.565696955,-4.734096527,3.981889725,-0.48363784,1.768853545,0
2.18,2.18,0.038677883,7.588672237,0.007709632,0.062733502,0.034567824,0.345678236,0.612851301,0.200853569,1.352626608,21.44979553,3.259145893,17.6993709,0.417574108,0.061404023,-368.8600464,115.9133377,4.472631454,34.84337234,20.92936325,7.705909252,-3.232779741,1.021282196,-0.593469977,6.948327541,1.234046102,9.516867638,-4.292160511,6.765849113,1.733347654,-1.040171027,-4.469963551,8.635510445,-3.546836138,4.597533226,0
2.23,2.23,0.09490588,6.723586376,0.013352851,0.068618667,0.044537542,0.311762792,0.753632783,0.518729036,1.382238929,17.333554,1.165415735,17.71185262,0.417873174,0.049961906,-351.7102966,118.203125,2.816249371,33.23404312,20.23286057,9.809396744,-1.251051664,3.658579111,-1.107156634,8.352948189,3.587717295,9.942869186,-4.245658875,7.024303436,0.772310197,0.071056351,-4.078244686,9.849287033,-3.372203112,5.901797771,0
2.24,2.24,-13.17547299,506.6821231,0.294263443,1.587347023,0.719696592,3.598482961,1.43633133,0.111468231,3.541379246,56.01692188,0.550415735,17.61782572,0.445756137,0.125689968,-368.1765442,104.1560059,-0.139806256,32.45894241,18.02256966,3.599397659,-1.928436399,0.767063975,0.046273291,5.812832355,-0.46405977,6.845898628,-2.63708806,4.522133827,2.163671732,1.142740965,-1.228631139,8.165665627,-1.641598582,4.648376942,0
2.25,2.25,0.98429466,2.611402886,0.008584623,0.053044464,0.025254474,0.202035795,0.557620232,0.320582396,0.876270389,11.71002486,1.684860179,17.71463778,0.508393764,0.019805983,-578.2677612,42.42285538,4.858976364,13.80284977,8.030343056,4.3390131,1.155259967,3.358145952,-0.751956403,3.156184435,0.569284201,3.73835659,0.042180892,1.79404521,0.254115403,1.450332522,-2.414364338,2.143620729,-1.818062544,1.628256679,0
2.26,2.26,0.63944023,19.77075441,0.01311863,0.07947401,0.039505272,0.750600166,0.787361418,-2.08276817,8.351553429,51.96585357,2.101590948,17.69940045,0.499865711,0.023700273,-554.3456421,55.69307327,0.190016136,15.93243027,9.639349937,3.413260221,-0.717832088,0.554418325,-1.10709846,4.233847141,-1.04854095,2.912958145,-0.434694201,2.457614183,-0.235633448,0.576281726,-1.968540907,3.568659544,-1.867098212,2.111936569,0
2.27,2.27,-0.494978677,74.74568991,0.039674414,0.37630431,0.126445957,1.643797445,1.240271292,-0.121226116,6.501514557,84.33844784,6.346860179,6.526017042,0.517324388,0.027637463,-576.9445801,32.12792206,-0.809606791,8.595618248,5.364040375,1.528946042,-0.546763003,0.558831751,0.167507797,2.459830523,0.351141214,2.566397429,-0.425510943,1.610114217,-0.171653196,-0.387377352,-0.507490218,2.123249292,-0.884130836,1.531032681,0
2.28,2.28,-3.386367911,238.5872109,0.682346068,0.682346068,0.682346068,0.682346068,0.7381608,0.082221494,4.063250699,53.14757759,12.00667836,4.800144113,0.498381555,0.018437546,-555.5617065,44.64918518,3.916368484,14.5708828,8.513145447,3.053445816,-0.845252454,1.70861876,-0.223915577,1.926419497,0.399707019,3.741359234,-0.787647843,1.681117296,0.491440564,0.282215238,-1.505992889,2.37463665,-1.401851416,1.595748901,0
2.29,2.29,0.1087116,15.21920193,0.021419295,0.111110153,0.056602563,0.566025634,1.225195586,0.120242252,5.987503164,26.9543029,0.738860179,15.27400691,0.482070357,0.039972115,-382.2658386,113.2951965,13.86607552,37.30814743,20.24552536,10.03282452,2.417140722,8.472229958,0.082711108,10.68149281,-0.742903173,9.61905098,-1.024569869,4.587172031,-1.529655218,4.254829407,-4.00290966,6.451466084,-4.522839069,4.538156986,0
2.34,2.34,-0.219353274,59.76448138,0.031976355,0.312534386,0.111590613,0.892724906,0.873987279,0.133586075,2.365477649,44.57335125,4.808449923,17.57328224,0.46939218,0.044627387,-374.2518921,115.9234009,5.297713757,37.65139771,23.30662346,7.561698914,-4.203990459,1.715605378,0.318394989,12.40664482,1.000710607,6.310154915,-0.415298343,7.883149624,-3.253914356,-1.445023894,-3.54935503,6.742254734,-6.830600739,4.57786274,0
