filename,folder #,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
3.13,3.13,-1.753026353,9.652143417,0.03897905,0.138514313,0.065633764,0.459436348,1.008701333,0.31082525,1.994567658,21.182728,-0.001825847,21.81251011,1
3.14,3.14,-1.63544733,13.53647579,0.015106374,0.062865435,0.036467418,0.474076432,1.028108937,0.370495329,2.529467299,42.15246644,4.040674153,18.43149755,1
3.15,3.15,-1.613636824,5.30311214,0.011815519,0.023673424,0.017744471,0.035488943,0.948883161,0.370495329,1.845004991,18.02878007,4.64171582,20.70358915,1
3.16,3.16,-1.506926095,9.701207924,0.00470592,0.007664944,0.00655718,0.039343081,1.066387946,0.687444193,1.610005619,59.71772495,9.928494666,16.28244333,1
3.17,3.17,-1.545994521,12.84143177,0.011727916,0.051682007,0.025012476,0.550274468,1.067220049,0.602394957,1.958726863,65.100423,10.66247718,18.12503072,1
3.18,3.18,-1.582523896,15.40162883,0.010801528,0.049585663,0.025699086,0.565379883,1.072086186,0.587477437,3.349543426,67.54142972,11.09974991,19.81046069,1
3.19,3.19,-1.444506593,2.423172426,0.016716875,0.029721856,0.022986722,0.137920329,1.021879659,0.687444193,1.424408423,23.50323216,12.13084082,21.35301488,1
3.2,3.2,-1.610698759,12.09514287,0.0070039,0.015633875,0.011744197,0.082209377,1.040853801,0.587477437,3.349543426,46.83842105,11.75115661,20.88144043,1
3.21,3.21,-1.685884969,13.85835369,0.005378687,0.016103031,0.011751999,0.082263995,1.000725949,0.587477437,3.349543426,42.03048987,11.26255511,19.71006255,1
3.22,3.22,-1.586681131,5.059699735,0.005404763,0.016123856,0.010428466,0.072999264,0.948791393,0.398974231,3.349543426,21.82220203,9.328729709,20.53794377,1
3.23,3.23,-1.646209728,11.5897524,0.01373593,0.097407646,0.038296621,0.421262833,0.934372046,0.64734125,1.8382243,32.70302161,3.63984082,19.85977133,1
3.26,3.26,-1.530813634,14.10953498,0.015023173,0.065892783,0.029771608,0.476345727,0.973231685,0.575272193,1.353695504,50.60804762,5.616701285,19.59189181,1
3.27,3.27,-1.440400102,9.97781112,0.011664395,0.014247332,0.013150601,0.039451802,0.93595297,0.263941616,1.633447436,38.37407175,5.831204456,20.55607779,1
3.28,3.28,-0.922807838,20.63970931,0.008654835,0.039179065,0.016232176,0.227250458,1.039462439,0.665552249,1.910293357,57.17043412,5.386507487,20.85453548,1
