filename,folder #,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mean_SCL,AUC_Phasic,min_peak_amplitude,max_peak_amplitude,mean_phasic_peak,sum_phasic_peak_amplitude,mean_BVPpeaks_ampl,min_BVPpeaks_ampl,max_BVPpeaks_ampl,sum_peak_ampl,HR_mean_difference,HR_variance_difference,Label
DS250022Q18.wav,17,0.397938967,0.36447686,-418.517395,131.6039276,22.47242737,12.63998508,2.573205233,-6.11066103,-16.50384521,-5.28557682,-12.30321026,-13.14542389,-7.572803974,-3.228734255,-2.448369265,-4.031990528,-4.250607014,-11.74915028,-10.25252247,-6.742053032,-5.2207551,-8.785111427,0.768719797,2.503627038,0.010559051,0.063097874,0.041506703,0.124520109,0.896813369,0.321680281,2.918608642,24.21396095,-1.846401796,8.516123838,low
DS250022Q19.wav,17,0.422038972,0.224067807,-414.7156372,144.4480438,15.81658363,27.45513153,-1.044499636,2.019821644,-21.18798637,4.580584049,-11.31170464,-16.27399254,-9.722603798,-12.5867691,-3.976510525,-10.12738037,5.399481773,-6.863217354,-6.133210182,-2.399679899,-1.223450065,-2.10448432,0.855676723,0.646719794,0,0,0,0,0.829732796,0.215194239,2.396827034,5.808129573,-1.126129069,8.64210557,high
DS250022Q20.wav,17,0.377819031,0.029593835,-540.116333,166.7113342,38.36034012,28.83200073,5.233656883,7.366411686,-37.40286255,-1.969019294,-29.72146606,-12.27952385,-11.2119894,-4.521708012,-5.936695576,-14.43626595,7.719711304,-12.71102333,-2.119887114,-5.41806078,4.385519505,-8.353663445,0.912233501,1.678184451,0,0,0,0,2.004359414,0.659241036,3.992520381,8.017437656,-0.886129069,8.64460557,high
DS250022Q21.wav,17,0.387621909,0.009799606,-544.9404297,86.05442047,12.27837849,59.77306366,-12.9325304,32.09760284,-41.42631531,4.541606903,-18.61265564,-2.621807337,-14.5001812,-0.637291014,-5.856355667,-11.85888767,15.16884232,-25.97303772,2.201958179,-10.64545441,-2.334284782,-9.273383141,1.074453767,-0.055566703,0,0,0,0,0.961927612,0.759870346,1.279256018,7.695420894,-0.594129069,8.62635557,neutral
DS250022Q22.wav,17,0.398249418,0.025963388,-531.3140259,119.8871384,37.47821045,29.53737068,11.46877193,11.15690422,-28.43480301,1.616271853,-21.06350708,-13.0919714,-11.2451973,-2.693558455,-4.030728817,-7.729539871,5.761329174,-15.00459766,-2.903048515,-7.570325851,-1.980019569,-6.359704018,0.960506548,1.240402848,0,0,0,0,0.526100206,0.222115832,0.926787218,8.417603295,-0.299962402,8.638467236,neutral
DS250022Q23.wav,17,0.379601717,0.159629613,-484.8434448,123.7046585,22.99575424,29.50319481,12.86273956,1.015230894,-26.0534668,2.044904232,-18.73685455,-14.61921692,-9.475604057,-2.87865448,-1.686239839,-6.219330788,2.490252256,-15.0830555,-6.404398918,-4.431824207,-2.386975527,-7.271407127,0.941573728,0.009031174,0,0,0,0,0.589865379,0.271898056,1.040194853,11.79730759,-0.284717304,8.612069687,high
DS250022Q24.wav,17,0.374169856,0.738966286,-359.5193176,126.7907028,1.980009794,12.13638687,0.038690209,-1.630690455,-24.63472176,-3.16417408,-18.48604202,-11.32889748,-6.605895042,-6.756795406,0.584228635,-7.720659256,-0.626211405,-11.72672176,-9.212010384,-2.867777824,-1.748009205,-7.559011936,0.824206617,0.1519833,0.01420407,0.01420407,0.01420407,0.01420407,0.502373785,0.305707375,0.874875272,8.037980554,-0.992590608,8.567328134,high
DS250022Q25.wav,17,0.428058714,0.066787459,-500.8139038,117.7462006,27.51173592,26.96923447,1.752054572,2.802910089,-24.80346298,6.894836903,-23.10466385,-15.11329937,-5.392481327,-5.292103767,-0.923137665,-5.035066605,3.447756052,-14.61034966,-7.069611549,-6.874131203,-1.78337419,-7.751999378,0.74293901,0.210634064,0,0,0,0,0.971943955,0.38211111,6.462730352,15.55110328,-1.286986212,8.644392053,high
DS250022Q26.wav,17,0.392605871,0.069393598,-512.131958,113.5888062,41.03517151,23.47043037,7.507708073,1.817101479,-19.29675865,-5.34135294,-16.91791916,-13.32670879,-8.792273521,-5.848203182,-2.770093441,-2.380327225,0.649140596,-10.02032185,-5.527451515,-5.750133514,-4.247565269,-6.94099617,0.499326562,1.254660594,0.007480107,0.007480107,0.007480107,0.007480107,0.886773039,0.284410166,3.239930276,46.11219805,-1.122966278,8.604793621,low
DS250022Q27.wav,17,0.377565473,0.219862968,-441.0834045,104.5917892,39.4671936,19.06088257,6.944463253,0.355697542,-15.04547215,-10.89417458,-18.00003433,-15.24057579,-9.408026695,-3.858914375,-4.042038441,-3.553754091,0.062955864,-6.789404869,-4.801053047,-4.888184547,-3.35519886,-6.729319096,0.397934104,1.100284768,0.006357498,0.006357498,0.006357498,0.006357498,0.858167105,0.150770183,1.865461682,18.0215092,-1.264684625,8.642693543,neutral
