filename,chroma_stft,mel,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,folder #,Label
8-12.wav,0.490186065,0.018513808,-597.0283203,56.90614319,7.808629036,17.01581764,4.90780592,7.314042091,0.918421805,-4.695329666,-8.528553963,5.775878429,0.789183915,4.846957207,-2.046818018,2.332302094,-0.233757675,1.655222058,-3.195634842,3.513452768,-2.731980562,2.489628315,8,0
8-17.wav,0.444159865,0.078664698,-407.4221497,114.953949,13.00735855,33.51693344,19.0328598,10.61045074,0.259772897,-5.604539394,-10.8455677,5.506329536,6.551270008,5.877929211,-1.521488667,3.77236414,-2.167994738,2.000507355,-6.881908417,3.389489174,-2.547427654,2.738150835,8,1
8-18.wav,0.436109334,0.11140617,-415.7686157,110.2702103,8.268924713,27.99495697,14.42477226,7.926586628,3.385982037,-7.360996246,-12.61198997,4.869585991,3.609950542,5.554740906,-0.431048751,2.544384241,-0.630029023,-0.190315768,-5.450169563,3.668604374,-4.217172146,2.162834167,8,1
8-19.wav,0.495679379,0.091499306,-393.5411072,156.2147217,32.1412468,36.60591125,-4.870033264,-8.664681435,5.652525425,2.506656647,-18.11330414,6.387619495,-1.877869606,7.562538624,8.734964371,8.190783501,-3.175698996,2.015567541,-7.573426723,4.025905132,-8.073127747,1.801396847,8,1
8-20.wav,0.473139882,0.07118383,-434.4471436,127.0648041,15.82699299,23.79218292,12.32086849,9.464235306,2.76685524,-2.820978642,-10.95963955,5.271620274,3.217357159,7.211055756,0.943347394,4.879741192,-2.277473688,1.463221431,-7.258520126,2.659628868,-3.824613333,4.695276737,8,1
8-21.wav,0.472708076,0.046220928,-613.1376953,56.7692337,7.551006317,19.55584908,8.317440987,4.868252277,5.260037422,-2.095254183,-4.340592861,4.351318836,-0.387487799,4.102313995,-1.483483076,-3.255686998,2.356272697,0.363034338,-6.244901657,2.632989168,-4.450267792,-0.962982655,8,0
8-34.wav,0.450922132,0.122511521,-376.0300598,125.8132248,13.71473789,32.69081497,16.59249687,5.328235626,2.452654362,-9.229517937,-15.68252945,4.269886494,4.339206219,5.230601788,-0.961547494,2.479374886,-1.85004425,1.442757845,-6.974228382,3.020607233,-2.327275991,2.71986866,8,1
8-37.wav,0.472065657,0.064945742,-398.6203308,121.9501648,25.55500221,34.59529114,13.35881233,13.83438683,6.890176773,-2.723441601,-10.78535652,8.246752739,2.205025434,9.048616409,1.511184573,0.781295896,-4.694850445,2.858797789,-7.983460903,4.226247787,-3.841774225,4.262540817,8,1
10-01.wav,0.373095065,0.310759753,-354.3609314,147.8534851,-25.10721397,33.84946823,-11.47280025,-7.668519497,-32.06108475,-5.763620377,-13.76233673,-6.806890488,3.078418493,-10.2907095,-1.358592987,-5.299445152,5.617966652,-8.204584122,-0.248906165,-2.945143223,-3.10928607,-3.481988668,10,1
10-02.wav,0.412836403,0.168038324,-385.467041,132.3407898,-20.81984711,37.58533478,-3.894351482,-2.149828911,-32.8318367,-6.119718552,-9.606105804,-7.15750885,0.510119915,-10.94581127,-2.546437979,-6.074279308,5.95300293,-7.899963379,-1.876266122,-3.229038477,-2.238482952,-1.657791853,10,1
10-03.wav,0.412188262,0.18492204,-371.0785217,130.5552216,-21.53828239,38.54110336,-4.248191357,-2.62016058,-38.72279739,-2.93806076,-12.48338223,-5.169620037,-2.92520833,-7.831786633,-4.246931553,-4.975317955,7.552448273,-9.522731781,0.693875194,-5.923403263,1.299959183,-4.816933155,10,1
